"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"363","213918568751224","Bruce Rauner","Doing a town hall at Richards-Wilcox Hardware in Aurora.","2013-07-29T18:50:03+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/283824928427254/?type=1&relevant_count=1","213918568751224_283824945093919",111,17,0
"364","213918568751224","Bruce Rauner","Enjoyed helping kick off the Sugar Grove corn boil tonight.","2013-07-27T03:29:50+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/282808201862260/?type=1&relevant_count=1","213918568751224_282808208528926",234,10,0
"365","213918568751224","Bruce Rauner","Busy weekend coming up. You can follow me on Twitter for quick updates from the road: @BruceRauner: twitter.com/BruceRauner","2013-07-26T20:14:59+0000","link","http://twitter.com/BruceRauner","213918568751224_282711831871897",41,7,0
"366","213918568751224","Bruce Rauner","Click ""Like"" if you think Illinois needs term limits to reduce the power of political dynasties: http://bit.ly/18Dd2XW","2013-07-26T13:13:24+0000","link","http://bit.ly/18Dd2XW","213918568751224_282583725218041",613,74,67
"367","213918568751224","Bruce Rauner","A volunteer put together this video highlighting our travels across the state the last few months: http://bit.ly/145v9r7","2013-07-25T15:00:50+0000","video","http://bit.ly/145v9r7","213918568751224_282254568584290",40,3,1
"368","213918568751224","Bruce Rauner","If you haven't yet, be sure to check out and follow my Instagram account: http://instagram.com/brucerauner#","2013-07-24T16:48:46+0000","link","http://instagram.com/brucerauner","213918568751224_281940351949045",51,7,0
"369","213918568751224","Bruce Rauner","Now we know the truth: the Democrats’ massive tax hike two years ago was the first step towards permanently raising taxes on Illinois workers. Click LIKE if you think we should reform state government and control spending instead of allowing the politicians in Springfield to spend more and worsen the fiscal crisis. http://bit.ly/1b8qiIv","2013-07-22T15:59:52+0000","link","http://bit.ly/1b8qiIv","213918568751224_281034912039589",279,30,31
"370","213918568751224","Bruce Rauner","Perfect Sunday night! Great feast at the Greek festival in Niles with good friends.","2013-07-22T01:13:38+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/280817192061361/?type=1&relevant_count=1","213918568751224_280817198728027",185,14,0
"371","213918568751224","Bruce Rauner","God bless our troops! In Wheaton as a supporter of ""Rockin' for the Troops"" fundraiser concert. Great group of folks here.","2013-07-20T22:41:43+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/280294332113647/?type=1&relevant_count=1","213918568751224_280294338780313",150,8,1
"372","213918568751224","Bruce Rauner","Stopped by AM 560 tent at Rockin for the Troops event in Wheaton. Great to see Big John Howell & rest of the WIND crew.","2013-07-20T22:37:05+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/280292322113848/?type=1&relevant_count=1","213918568751224_280292342113846",64,5,1
